"","x"
"1",-1742.41471634725
"2",-1742.41471634725
"3",-1742.41471634725
"4",-1742.41471634725
"5",-1742.41471634725
"6",-1742.41471634725
"7",-1742.41471634725
"8",-1742.41471634725
"9",-1742.41471634725
"10",-1742.41471634725
"11",-1742.41471634725
"12",-1742.41471634725
"13",-1742.41471634725
"14",-1742.41471634725
"15",-1742.41471634725
"16",-1742.41471634725
"17",-1742.41471634725
"18",-1742.41471634725
"19",-1742.41471634725
"20",-1742.41471634725
"21",-1742.41471634725
"22",-1742.41471634725
"23",-1742.41471634725
"24",-1742.41471634725
"25",-1742.41471634725
"26",-1742.41471634725
"27",-1742.41471634725
"28",-1742.41471634725
"29",-1742.41471634725
"30",-1742.41471634725
"31",-1742.41471634725
"32",-1742.41471634725
"33",-1742.41471634725
"34",-1742.41471634725
"35",-1742.41471634725
"36",-1742.41471634725
"37",-1742.41471634725
"38",-1742.41471634725
"39",-1742.41471634725
"40",-1742.41471634725
"41",-1742.41471634725
"42",-1742.41471634725
"43",-1742.41471634725
"44",-1742.41471634725
"45",-1742.41471634725
"46",-1742.41471634725
"47",-1742.41471634725
"48",-1742.41471634725
"49",-1742.41471634725
"50",-1742.26050980818
"51",-1741.89311879276
"52",-1741.52572777734
"53",-1739.34674893731
"54",-1729.76698907453
"55",-1711.79255725635
"56",-1700.00373149877
"57",-1685.76840952907
"58",-1673.92323907453
"59",-1662.22970214271
"60",-1654.48833820412
"61",-1637.54210869175
"62",-1631.08914816544
"63",-1623.54336894466
"64",-1609.02651986632
"65",-1590.19312543816
"66",-1576.23543194922
"67",-1562.76293063297
"68",-1553.97362343282
"69",-1538.16519990625
"70",-1529.18898940875
"71",-1518.01930388934
"72",-1500.84553771886
"73",-1489.1880578706
"74",-1476.24167915717
"75",-1462.36526917281
"76",-1453.08788459692
"77",-1438.32172659053
"78",-1431.68540296697
"79",-1417.2841840506
"80",-1401.69630057185
"81",-1390.13905652321
"82",-1380.16715141219
"83",-1363.84946421657
"84",-1356.48729269669
"85",-1339.96487308707
"86",-1325.447714599
"87",-1312.55024442212
"88",-1306.76341502761
"89",-1291.90384678204
"90",-1276.89259784076
"91",-1268.82215769623
"92",-1258.15230911163
"93",-1252.01130725635
"94",-1241.44870579531
"95",-1226.04453728389
"96",-1216.52577006626
"97",-1202.51376655078
"98",-1190.27726005355
"99",-1182.38284489839
"100",-1166.95854751609
"101",-1157.94708549326
"102",-1143.57518188978
"103",-1130.05066220287
"104",-1117.93785435383
"105",-1110.07905201159
"106",-1090.5929727923
"107",-1076.36553045852
"108",-1066.98883439339
"109",-1054.77446515108
"110",-1043.97946693757
"111",-1034.47300286411
"112",-1025.25184910779
"113",-1011.84431723417
"114",-1000.39100264776
"115",-981.22532240786
"116",-967.572280797729
"117",-957.420608603147
"118",-945.990710665436
"119",-938.137727710891
"120",-919.070500624453
"121",-894.704028386566
"122",-880.411591347254
"123",-869.578857761396
"124",-854.738579983619
"125",-840.635287442825
"126",-836.608116696905
"127",-819.580300762839
"128",-804.36463706607
"129",-792.452265754369
"130",-783.978019212867
"131",-773.073971946727
"132",-757.279579467089
"133",-742.965041022579
"134",-736.84583352553
"135",-718.415050571853
"136",-710.558300627557
"137",-696.112328057578
"138",-684.687680362406
"139",-672.165528035566
"140",-655.69637219141
"141",-644.00887219141
"142",-635.210429157172
"143",-628.637840445378
"144",-618.233466347254
"145",-609.706924139462
"146",-596.721014362619
"147",-580.89343207597
"148",-570.756251401183
"149",-556.792731189555
"150",-539.661502859922
"151",-524.487971217384
"152",-517.978820086257
"153",-508.619920563328
"154",-495.453215563555
"155",-481.845044216107
"156",-467.827358392709
"157",-457.45514108645
"158",-444.581398538014
"159",-433.052973923012
"160",-421.128995408357
"161",-407.631293887361
"162",-396.197540826992
"163",-386.089343477936
"164",-373.566907905696
"165",-360.412480877806
"166",-342.863579983618
"167",-333.517389202568
"168",-326.881065579008
"169",-301.17176963879
"170",-290.340069011831
"171",-281.407614074527
"172",-271.146476887439
"173",-258.197280797729
"174",-246.251476809015
