"","x"
"1",-163.996477265867
"2",-163.996477265867
"3",-163.996477265867
"4",-163.996477265867
"5",-163.996477265867
"6",-163.996477265867
"7",-163.996477265867
"8",-163.996477265867
"9",-163.996477265867
"10",-163.996477265867
"11",-163.996477265867
"12",-163.996477265867
"13",-163.996477265867
"14",-163.996477265867
"15",-163.996477265867
"16",-163.996477265867
"17",-163.996477265867
"18",-163.996477265867
"19",-163.996477265867
"20",-163.996477265867
"21",-163.996477265867
"22",-163.996477265867
"23",-163.996477265867
"24",-163.996477265867
"25",-163.996477265867
"26",-163.996477265867
"27",-163.996477265867
"28",-163.996477265867
"29",-163.996477265867
"30",-163.996477265867
"31",-163.996477265867
"32",-163.996477265867
"33",-163.996477265867
"34",-163.996477265867
"35",-163.996477265867
"36",-163.996477265867
"37",-163.996477265867
"38",-163.996477265867
"39",-163.996477265867
"40",-163.996477265867
"41",-163.996477265867
"42",-163.996477265867
"43",-163.996477265867
"44",-163.996477265867
"45",-163.996477265867
"46",-163.996477265867
"47",-163.996477265867
"48",-163.996477265867
"49",-163.996477265867
"50",-154.12725876507
"51",-130.614233778361
"52",-107.101208791651
"53",-118.608183955404
"54",-150.536249993138
"55",-165.694204538594
"56",-176.125265144655
"57",-188.513522720413
"58",-198.988522720413
"59",-209.902490523443
"60",-216.980217594687
"61",-232.094563390269
"62",-237.322045447685
"63",-244.484978348118
"64",-256.819974333316
"65",-271.97374999314
"66",-283.139904784295
"67",-293.34112012301
"68",-299.46113301453
"69",-308.946187130471
"70",-314.331913428969
"71",-319.807363910087
"72",-327.224148717223
"73",-331.256919526309
"74",-335.031084703884
"75",-336.806366700757
"76",-336.996477265867
"77",-336.456944615419
"78",-336.014523040515
"79",-331.952966500317
"80",-326.109110955707
"81",-320.060993394899
"82",-312.706677482317
"83",-299.422524851094
"84",-291.07873046189
"85",-269.391722824906
"86",-246.384807685448
"87",-223.191831543942
"88",-212.624134890501
"89",-181.072564222389
"90",-147.778200750716
"91",-128.774336503404
"92",-102.514218453251
"93",-87.4282954476854
"94",-60.0848498308022
"95",-18.9846544926811
"96",7.03330923551016
"97",45.9506055021111
"98",80.1884003565101
"99",102.292762790951
"100",145.480795461406
"101",170.712889125317
"102",210.386312323576
"103",246.550063509534
"104",278.811573117484
"105",298.631494762105
"106",345.975707266019
"107",379.106813100483
"108",398.797874837254
"109",423.025352877673
"110",443.251911655817
"111",459.551041460725
"112",473.876270794
"113",491.62528917907
"114",504.709133529587
"115",520.956805562416
"116",527.15625339899
"117",528.914764784264
"118",528.5147206508
"119",525.635293567466
"120",512.23438152698
"121",482.071704552315
"122",459.131022734133
"123",438.115012633123
"124",406.316022734136
"125",373.132893363504
"126",363.467683573294
"127",318.300600656211
"128",275.263300746818
"129",240.380334328336
"130",214.864318188678
"131",181.313140652447
"132",131.771084717604
"133",86.9645616951718
"134",67.3830977046168
"135",8.80454768957009
"136",-15.7370075688972
"137",-60.2772939068531
"138",-94.8321780234429
"139",-131.510817092707
"140",-177.186006486646
"141",-208.006379863269
"142",-229.886766522065
"143",-245.660979430369
"144",-268.995227265867
"145",-286.631542200932
"146",-311.269644679439
"147",-337.674146818537
"148",-350.707619407624
"149",-365.052599714847
"150",-376.367891200293
"151",-379.996477265867
"152",-379.538357764401
"153",-376.596169843821
"154",-368.825565562628
"155",-357.42680513472
"156",-340.974176129503
"157",-325.936305879876
"158",-304.969837921605
"159",-283.859166659807
"160",-259.179320037849
"161",-229.087386356776
"162",-202.057881975616
"163",-176.612836167383
"164",-143.482516226907
"165",-107.190217951411
"166",-57.3956249931399
"167",-29.8309843081206
"168",-10.3644350123463
"169",67.3388414384167
"170",100.122788669347
"171",127.024829552315
"172",157.80824111358
"173",196.473219703829
"174",231.299368092478
"175",267.406142683628
"176",282.239554931102
"177",329.711215041825
"178",373.397083340194
"179",415.875263396571
"180",448.044107149717
"181",470.989935777611
"182",488.669796319038
"183",508.192159097769
"184",523.317443188678
"185",528.589696976557
"186",537.155105526341
"187",546.199803725868
"188",552.83256685178
"189",556.329176532389
"190",561.034402180773
"191",564.406793244111
"192",567.003522734133
"193",568.003522734133
"194",568.003522734133
"195",568.003522734133
"196",566.748171254217
"197",564.789886370496
"198",562.562660025413
"199",559.347272734133
"200",554.095981411819
"201",550.355422008567
"202",544.800550706161
"203",538.718484855345
"204",531.299673012426
"205",525.875965915951
"206",517.433238643224
"207",507.766172819896
"208",501.509796408375
"209",487.607800808999
"210",479.850296927681
"211",468.883424694917
"212",460.388131691352
"213",446.157052714791
"214",434.317356222073
"215",423.608455035874
"216",409.350113643223
"217",394.050911515564
"218",381.361477279588
"219",366.944667674099
"220",357.287297986658
"221",343.202502325969
"222",330.219621218982
"223",319.175795461406
"224",311.636931825042
"225",302.898353393669
"226",282.030560351688
"227",267.708245745496
"228",254.961783223644
"229",243.155192492946
"230",224.219000294547
"231",213.305795461406
"232",201.387451305562
"233",192.412613643224
"234",172.137656796274
"235",154.684409470348
"236",134.127326561884
"237",111.586526686702
"238",98.2215625068603
"239",84.9935795523148
"240",73.1740683343662
"241",57.0134495888875
"242",44.8025611956714
"243",34.0640696091328
"244",22.0077346292032
"245",9.2025968082072
"246",-3.8469300357533
"247",-18.0132521576419
"248",-30.2850538208911
"249",-41.1926235109261
"250",-48.9964772658672
"251",-48.9964772658672
"252",-48.9964772658672
"253",-48.9964772658672
"254",-48.9964772658672
"255",-48.9964772658672
"256",-48.9964772658672
"257",-48.9964772658672
"258",-48.9964772658672
"259",-48.9964772658672
"260",-48.9964772658672
"261",-48.9964772658672
"262",-48.9964772658672
"263",-48.9964772658672
"264",-48.9964772658672
"265",-48.9964772658672
"266",-48.9964772658672
"267",-48.9964772658672
"268",-48.9964772658672
"269",-48.9964772658672
"270",-48.9964772658672
"271",-48.9964772658672
"272",-48.9964772658672
"273",-48.9964772658672
"274",-48.9964772658672
"275",-48.9964772658672
"276",-48.9964772658672
"277",-48.9964772658672
"278",-48.9964772658672
"279",-48.9964772658672
"280",-48.9964772658672
"281",-48.9964772658672
"282",-48.9964772658672
"283",-48.9964772658672
"284",-48.9964772658672
"285",-48.9964772658672
"286",-48.9964772658672
"287",-48.9964772658672
"288",-48.9964772658672
"289",-48.9964772658672
"290",-48.9964772658672
"291",-48.9964772658672
"292",-48.9964772658672
"293",-48.9964772658672
"294",-48.9964772658672
"295",-48.9964772658672
"296",-48.9964772658672
"297",-48.9964772658672
"298",-48.9964772658672
"299",-48.9964772658672
"300",-48.9964772658672
"301",-48.9964772658672
"302",-48.9964772658672
"303",-48.9964772658672
"304",-48.9964772658672
"305",-48.9964772658672
"306",-48.9964772658672
"307",-48.9964772658672
"308",-48.9964772658672
"309",-48.9964772658672
"310",-48.9964772658672
"311",-48.9964772658672
"312",-48.9964772658672
"313",-48.9964772658672
"314",-48.9964772658672
"315",-48.9964772658672
"316",-48.9964772658672
"317",-48.9964772658672
"318",-48.9964772658672
"319",-48.9964772658672
"320",-48.9964772658672
"321",-48.9964772658672
"322",-48.9964772658672
"323",-48.9964772658672
"324",-48.9964772658672
"325",-48.9964772658672
"326",-48.9964772658672
"327",-48.9964772658672
"328",-48.9964772658672
"329",-48.9964772658672
"330",-48.9964772658672
"331",-48.9964772658672
"332",-48.9964772658672
"333",-48.9964772658672
"334",-48.9964772658672
"335",-48.9964772658672
"336",-48.9964772658672
"337",-48.9964772658672
"338",-48.9964772658672
"339",-48.9964772658672
"340",-48.9964772658672
"341",-48.9964772658672
"342",-48.9964772658672
"343",-48.9964772658672
"344",-48.9964772658672
"345",-48.9964772658672
"346",-48.9964772658672
"347",-48.9964772658672
"348",-48.9964772658672
"349",-48.9964772658672
"350",-48.9964772658672
"351",-48.9964772658672
"352",-48.9964772658672
