"","x"
"1",0
"2",62.8238636363636
"3",125.647727272727
"4",188.471590909091
"5",251.295454545455
"6",314.119318181818
"7",376.943181818182
"8",439.767045454545
"9",502.590909090909
"10",565.414772727273
"11",628.238636363636
"12",691.0625
"13",753.886363636364
"14",816.710227272727
"15",879.534090909091
"16",942.357954545455
"17",1005.18181818182
"18",1068.00568181818
"19",1130.82954545455
"20",1193.65340909091
"21",1256.47727272727
"22",1319.30113636364
"23",1382.125
"24",1444.94886363636
"25",1507.77272727273
"26",1570.59659090909
"27",1633.42045454545
"28",1696.24431818182
"29",1759.06818181818
"30",1821.89204545455
"31",1884.71590909091
"32",1947.53977272727
"33",2010.36363636364
"34",2073.1875
"35",2136.01136363636
"36",2198.83522727273
"37",2261.65909090909
"38",2324.48295454545
"39",2387.30681818182
"40",2450.13068181818
"41",2512.95454545455
"42",2575.77840909091
"43",2638.60227272727
"44",2701.42613636364
"45",2764.25
"46",2827.07386363636
"47",2889.89772727273
"48",2952.72159090909
"49",3015.54545454545
"50",3078.36931818182
"51",3141.19318181818
"52",3204.01704545455
"53",3266.84090909091
"54",3329.66477272727
"55",3392.48863636364
"56",3455.3125
"57",3518.13636363636
"58",3580.96022727273
"59",3643.78409090909
"60",3706.60795454545
"61",3769.43181818182
"62",3832.25568181818
"63",3895.07954545455
"64",3957.90340909091
"65",4020.72727272727
"66",4083.55113636364
"67",4146.375
"68",4209.19886363636
"69",4272.02272727273
"70",4334.84659090909
"71",4397.67045454545
"72",4460.49431818182
"73",4523.31818181818
"74",4586.14204545455
"75",4648.96590909091
"76",4711.78977272727
"77",4774.61363636364
"78",4837.4375
"79",4900.26136363636
"80",4963.08522727273
"81",5025.90909090909
"82",5088.73295454545
"83",5151.55681818182
"84",5214.38068181818
"85",5277.20454545455
"86",5340.02840909091
"87",5402.85227272727
"88",5465.67613636364
"89",5528.5
"90",5591.32386363636
"91",5654.14772727273
"92",5716.97159090909
"93",5779.79545454545
"94",5842.61931818182
"95",5905.44318181818
"96",5968.26704545455
"97",6031.09090909091
"98",6093.91477272727
"99",6156.73863636364
"100",6219.5625
"101",6282.38636363636
"102",6345.21022727273
"103",6408.03409090909
"104",6470.85795454545
"105",6533.68181818182
"106",6596.50568181818
"107",6659.32954545455
"108",6722.15340909091
"109",6784.97727272727
"110",6847.80113636364
"111",6910.625
"112",6973.44886363636
"113",7036.27272727273
"114",7099.09659090909
"115",7161.92045454545
"116",7224.74431818182
"117",7287.56818181818
"118",7350.39204545455
"119",7413.21590909091
"120",7476.03977272727
"121",7538.86363636364
"122",7601.6875
"123",7664.51136363636
"124",7727.33522727273
"125",7790.15909090909
"126",7852.98295454545
"127",7915.80681818182
"128",7978.63068181818
"129",8041.45454545455
"130",8104.27840909091
"131",8167.10227272727
"132",8229.92613636364
"133",8292.75
"134",8355.57386363636
"135",8418.39772727273
"136",8481.22159090909
"137",8544.04545454545
"138",8606.86931818182
"139",8669.69318181818
"140",8732.51704545454
"141",8795.34090909091
"142",8858.16477272727
"143",8920.98863636364
"144",8983.8125
"145",9046.63636363636
"146",9109.46022727273
"147",9172.28409090909
"148",9235.10795454545
"149",9297.93181818182
"150",9360.75568181818
"151",9423.57954545454
"152",9486.40340909091
"153",9549.22727272727
"154",9612.05113636364
"155",9674.875
"156",9737.69886363636
"157",9800.52272727273
"158",9863.34659090909
"159",9926.17045454545
"160",9988.99431818182
"161",10051.8181818182
"162",10114.6420454545
"163",10177.4659090909
"164",10240.2897727273
"165",10303.1136363636
"166",10365.9375
"167",10428.7613636364
"168",10491.5852272727
"169",10554.4090909091
"170",10617.2329545455
"171",10680.0568181818
"172",10742.8806818182
"173",10805.7045454545
"174",10868.5284090909
"175",10931.3522727273
"176",10994.1761363636
"177",11057
"178",11119.8238636364
"179",11182.6477272727
"180",11245.4715909091
"181",11308.2954545455
"182",11371.1193181818
"183",11433.9431818182
"184",11496.7670454545
"185",11559.5909090909
"186",11622.4147727273
"187",11685.2386363636
"188",11748.0625
"189",11810.8863636364
"190",11873.7102272727
"191",11936.5340909091
"192",11999.3579545455
"193",12062.1818181818
"194",12125.0056818182
"195",12187.8295454545
"196",12250.6534090909
"197",12313.4772727273
"198",12376.3011363636
"199",12439.125
"200",12501.9488636364
"201",12564.7727272727
"202",12627.5965909091
"203",12690.4204545455
"204",12753.2443181818
"205",12816.0681818182
"206",12878.8920454545
"207",12941.7159090909
"208",13004.5397727273
"209",13067.3636363636
"210",13130.1875
"211",13193.0113636364
"212",13255.8352272727
"213",13318.6590909091
"214",13381.4829545455
"215",13444.3068181818
"216",13507.1306818182
"217",13569.9545454545
"218",13632.7784090909
"219",13695.6022727273
"220",13758.4261363636
"221",13821.25
"222",13884.0738636364
"223",13946.8977272727
"224",14009.7215909091
"225",14072.5454545455
"226",14135.3693181818
"227",14198.1931818182
"228",14261.0170454545
"229",14323.8409090909
"230",14386.6647727273
"231",14449.4886363636
"232",14512.3125
"233",14575.1363636364
"234",14637.9602272727
"235",14700.7840909091
"236",14763.6079545455
"237",14826.4318181818
"238",14889.2556818182
"239",14952.0795454545
"240",15014.9034090909
"241",15077.7272727273
"242",15140.5511363636
"243",15203.375
"244",15266.1988636364
"245",15329.0227272727
"246",15391.8465909091
"247",15454.6704545455
"248",15517.4943181818
"249",15580.3181818182
"250",15643.1420454545
"251",15705.9659090909
"252",15768.7897727273
"253",15831.6136363636
"254",15894.4375
"255",15957.2613636364
"256",16020.0852272727
"257",16082.9090909091
"258",16145.7329545455
"259",16208.5568181818
"260",16271.3806818182
"261",16334.2045454545
"262",16397.0284090909
"263",16459.8522727273
"264",16522.6761363636
"265",16585.5
"266",16648.3238636364
"267",16711.1477272727
"268",16773.9715909091
"269",16836.7954545455
"270",16899.6193181818
"271",16962.4431818182
"272",17025.2670454545
"273",17088.0909090909
"274",17150.9147727273
"275",17213.7386363636
"276",17276.5625
"277",17339.3863636364
"278",17402.2102272727
"279",17465.0340909091
"280",17527.8579545455
"281",17590.6818181818
"282",17653.5056818182
"283",17716.3295454545
"284",17779.1534090909
"285",17841.9772727273
"286",17904.8011363636
"287",17967.625
"288",18030.4488636364
"289",18093.2727272727
"290",18156.0965909091
"291",18218.9204545455
"292",18281.7443181818
"293",18344.5681818182
"294",18407.3920454545
"295",18470.2159090909
"296",18533.0397727273
"297",18595.8636363636
"298",18658.6875
"299",18721.5113636364
"300",18784.3352272727
"301",18847.1590909091
"302",18909.9829545455
"303",18972.8068181818
"304",19035.6306818182
"305",19098.4545454545
"306",19161.2784090909
"307",19224.1022727273
"308",19286.9261363636
"309",19349.75
"310",19412.5738636364
"311",19475.3977272727
"312",19538.2215909091
"313",19601.0454545455
"314",19663.8693181818
"315",19726.6931818182
"316",19789.5170454545
"317",19852.3409090909
"318",19915.1647727273
"319",19977.9886363636
"320",20040.8125
"321",20103.6363636364
"322",20166.4602272727
"323",20229.2840909091
"324",20292.1079545455
"325",20354.9318181818
"326",20417.7556818182
"327",20480.5795454545
"328",20543.4034090909
"329",20606.2272727273
"330",20669.0511363636
"331",20731.875
"332",20794.6988636364
"333",20857.5227272727
"334",20920.3465909091
"335",20983.1704545455
"336",21045.9943181818
"337",21108.8181818182
"338",21171.6420454545
"339",21234.4659090909
"340",21297.2897727273
"341",21360.1136363636
"342",21422.9375
"343",21485.7613636364
"344",21548.5852272727
"345",21611.4090909091
"346",21674.2329545455
"347",21737.0568181818
"348",21799.8806818182
"349",21862.7045454545
"350",21925.5284090909
"351",21988.3522727273
"352",22051.1761363636
"353",22114
"354",22176.8238636364
"355",22239.6477272727
"356",22302.4715909091
"357",22365.2954545455
"358",22428.1193181818
"359",22490.9431818182
"360",22553.7670454545
"361",22616.5909090909
"362",22679.4147727273
"363",22742.2386363636
"364",22805.0625
"365",22867.8863636364
"366",22930.7102272727
"367",22993.5340909091
"368",23056.3579545455
"369",23119.1818181818
"370",23182.0056818182
"371",23244.8295454545
"372",23307.6534090909
"373",23370.4772727273
"374",23433.3011363636
"375",23496.125
"376",23558.9488636364
"377",23621.7727272727
"378",23684.5965909091
"379",23747.4204545455
"380",23810.2443181818
"381",23873.0681818182
"382",23935.8920454545
"383",23998.7159090909
"384",24061.5397727273
"385",24124.3636363636
"386",24187.1875
"387",24250.0113636364
"388",24312.8352272727
"389",24375.6590909091
"390",24438.4829545455
"391",24501.3068181818
"392",24564.1306818182
"393",24626.9545454545
"394",24689.7784090909
"395",24752.6022727273
"396",24815.4261363636
"397",24878.25
"398",24941.0738636364
"399",25003.8977272727
"400",25066.7215909091
"401",25129.5454545455
"402",25192.3693181818
"403",25255.1931818182
"404",25318.0170454545
"405",25380.8409090909
"406",25443.6647727273
"407",25506.4886363636
"408",25569.3125
"409",25632.1363636364
"410",25694.9602272727
"411",25757.7840909091
"412",25820.6079545455
"413",25883.4318181818
"414",25946.2556818182
"415",26009.0795454545
"416",26071.9034090909
"417",26134.7272727273
"418",26197.5511363636
"419",26260.375
"420",26323.1988636364
"421",26386.0227272727
"422",26448.8465909091
"423",26511.6704545455
"424",26574.4943181818
"425",26637.3181818182
"426",26700.1420454545
"427",26762.9659090909
"428",26825.7897727273
"429",26888.6136363636
"430",26951.4375
"431",27014.2613636364
"432",27077.0852272727
"433",27139.9090909091
"434",27202.7329545455
"435",27265.5568181818
"436",27328.3806818182
"437",27391.2045454545
"438",27454.0284090909
"439",27516.8522727273
"440",27579.6761363636
"441",27642.5
"442",27705.3238636364
"443",27768.1477272727
"444",27830.9715909091
"445",27893.7954545455
"446",27956.6193181818
"447",28019.4431818182
"448",28082.2670454545
"449",28145.0909090909
"450",28207.9147727273
"451",28270.7386363636
"452",28333.5625
"453",28396.3863636364
"454",28459.2102272727
"455",28522.0340909091
"456",28584.8579545455
"457",28647.6818181818
"458",28710.5056818182
"459",28773.3295454545
"460",28836.1534090909
"461",28898.9772727273
"462",28961.8011363636
"463",29024.625
"464",29087.4488636364
"465",29150.2727272727
"466",29213.0965909091
"467",29275.9204545455
"468",29338.7443181818
"469",29401.5681818182
"470",29464.3920454545
"471",29527.2159090909
"472",29590.0397727273
"473",29652.8636363636
"474",29715.6875
"475",29778.5113636364
"476",29841.3352272727
"477",29904.1590909091
"478",29966.9829545455
"479",30029.8068181818
"480",30092.6306818182
"481",30155.4545454545
"482",30218.2784090909
"483",30281.1022727273
"484",30343.9261363636
"485",30406.75
"486",30469.5738636364
"487",30532.3977272727
"488",30595.2215909091
"489",30658.0454545455
"490",30720.8693181818
"491",30783.6931818182
"492",30846.5170454545
