"","x"
"1",-1209.86586570572
"2",-1177.02517759522
"3",-1144.18448948471
"4",-1111.34380137421
"5",-1078.5031132637
"6",-1045.6624251532
"7",-1012.82173704269
"8",-979.981048932185
"9",-947.14036082168
"10",-914.299672711175
"11",-881.45898460067
"12",-848.618296490165
"13",-815.77760837966
"14",-782.936920269154
"15",-750.096232158649
"16",-717.255544048144
"17",-684.414855937639
"18",-651.574167827134
"19",-618.733479716628
"20",-585.892791606123
"21",-553.052103495618
"22",-520.211415385113
"23",-487.370727274608
"24",-454.530039164103
"25",-421.689351053597
"26",-441.768355678984
"27",-341.621818086674
"28",-33.2930741105256
"29",313.703099811519
"30",523.693746812907
"31",461.103582878481
"32",241.536260393986
"33",-155.664673455349
"34",-557.87479427715
"35",-664.454069168925
"36",-504.556432083789
"37",-213.173558013414
"38",60.4899763688702
"39",133.513155273299
"40",-37.3951270693569
"41",-433.416565006421
"42",-577.84455888754
"43",-466.858763432995
"44",-338.40523970891
"45",-674.449199039055
"46",-968.154143217683
"47",-968.809606391266
"48",-979.4168187849
"49",-1135.17201543834
"50",-1256.86586570572
"51",-1256.86586570572
"52",-1256.86586570572
"53",-1256.86586570572
"54",-1256.86586570572
"55",-1256.86586570572
"56",-1256.86586570572
"57",-1256.86586570572
"58",-1256.86586570572
"59",-1112.90137706936
"60",-1149.36272257226
"61",-1125.19720541864
"62",-1057.15438843299
"63",-1076.51095499143
"64",-1256.86586570572
"65",-1256.86586570572
"66",-1256.86586570572
"67",-1256.86586570572
"68",-1256.86586570572
"69",-1256.86586570572
"70",-1256.86586570572
"71",-1256.86586570572
"72",-1256.86586570572
"73",-1256.86586570572
"74",-1256.86586570572
"75",-1256.86586570572
"76",-1256.86586570572
"77",-1256.86586570572
"78",-1256.86586570572
"79",-1256.86586570572
"80",-1256.86586570572
"81",-1256.86586570572
"82",-1256.86586570572
"83",-1256.86586570572
"84",-1256.86586570572
"85",-1256.86586570572
"86",-1256.86586570572
"87",-1256.86586570572
"88",-1256.86586570572
"89",-1256.86586570572
"90",-1183.26075206936
"91",-1019.12466335968
"92",-1053.82331004709
